Review,Price,Quality,Delivery Cost,Packaging,Overall Sentiment
im a delivery driver so i tend to get pretty sweaty throughout the day sometimes i have plans after work and dont really have time to shower or may not even have a chance to go home first these wipes are great for such occasions they allow me to freshen up enough to feel presentable and also get rid of that sticky feeling that sweating can leave on your skin the wipes themselves are thick and soft and moist enough to wipe your whole body down before drying out highly recommend these wipes for other folks with dirty jobs i think theyd also be great for traveling camping etc,-,very good,very good,-,very good
im a chick i sweat like a dude ive tried every wipe on the market because i hate getting into my car after boxing when im drenched but the gym bathroom is small and uninspiring so id rather shower at home these wipes allow me to remove my shirt completely wipe down my entire face arms and torso in about 30 seconds and put a fresh shirt on until i get home to shower this helps keep my car clean and i sit on a towel and avoid breakouts from the sweat drying on my skin in the 20 mins it takes to get home i think these guys did themselves a huge disservice branding these wipes for men and cutting their market in half considering they are fragrance free and there is nothing manspecific about them by the time a woman becomes a mom she buys wipes by the truckloads i was actively looking for “grown up” wipes for myself for the gym because wipes were a staple in my life so i feel like these “dudes” must know nothing about marketing or consumer demographics to box out 50 of the population just because they wanted a cheeky name nevertheless the product is terrific and i recommend them to ladies and dudes alike,-,very good,very good,very good,very good
stiffer,-,-,-,-,-
i have a small kitchen and 4 fur kids  1 who always comes in dirty and thinks the kitchen is his bath towel  so easy to use and clean up the dirt and grime,-,neutral,-,-,neutral
they make the floors very easy to clean without all of the mops buckets and water,-,-,-,-,-
floors,-,-,-,-,-
will these get your floor spotlessno will they clean up the salt/dirt your dog brings in your foyeryes perfect for light messes,-,-,-,-,-
i love these and i can use them easily,-,very good,-,-,very good
its nice to get every two weeks,-,-,-,-,-
easy use less work great smell,-,very good,-,-,very good
i put these in a christmas decoration last year led and three months later it was still flashing  they must be nuclearpowered,-,-,-,-,-
they are excellent batteriesbut can be bought for less at menards,-,good,-,-,good
much better than pink bunny ones not sure if worth the extra money,neutral,-,-,-,neutral
what can you say their batteries not the best batteries but they work,-,poor,-,-,poor
theyre batteries good price,good,good,-,-,good
only 4 stars because some batteries just dont dont last but i did not want to pay more so i will try these used before and they are okay,-,good,-,-,good
always make certain that i have an ample supply of all the popular sizesaa aaa c d 9 volt etc,-,-,-,-,-
i love convenience of picking up these types of products from amazon to save me a trip to the store  i try to be thoughtful about adding things to my cart to eliminate extra trips from amazon and they always arrive on time  the batteries last forever and are very reliable,-,very good,very good,-,very good
good price and i think it is better than the duracell brand batteries,very good,very good,-,-,very good
i gave the batteries a 5 star rating for longevity but that hasnt been proven yet so keep that in mind  for the quantity and price its worth the chance to try them out  i didnt hesitate to purchase them and theyve performed perfectly so far,very good,very good,-,-,very good
we bought these after purchasing their aaa 24 pack for other items needing them these aa batteries last a long long time and we will definitely buy this brand again and again,-,good,good,-,good
not the best battery but it was a good deal for the money,good,good,-,-,good
my goto battery brand  they last for a really long time  and since i have so many flameless candles throughout my house thats a really good thing  plus you cant beat the price  it asked me to rate the remote control but i havent used them in any of my remotes yet so i cant speak to that,good,good,good,-,good
"nice that they have a 100 satisfaction guarantee and 10year shelf life

if would nice if the batteries had an expiration date on them as do duracell and others the box says best by see date on battery but there are no dates on the batteries

mine were 161 volts out of the box indicating theyre fresh and full

the 36 pack comes in bundles of 6 not bundles of 4",-,very good,-,very good,very good
have purchased these batteries for our church in the past and they work great excellent value for the money and just as good if not better in some instances as the name brand batteries  enjoy your savings,very good,very good,-,-,very good
surprised at how powerful these batteries are  my electric toothbrush is now super powered  same with my other small appliances,-,very good,-,-,very good
smells good,-,good,-,-,good
this is the first time ive bought this brand dish soap its alright it smells nice as soon i opened the box i could smell the soap it was wrapped in plastic in a large cardboard box by itself so im assuming in transit the top broke off causing it to leak in the box one reason i decided to buy this dish soap was for the hand pump unfortunately i had to switch the bottle the packaging definitely needs more effort,-,-,good,good,good
it has no hints of citrus but it does clean my dishes well,-,-,-,-,-
i love the scent and it seems to get the dishes clean but i went through it twice as fast as a squeeze bottle i tried to be conservative with this but it still disappears the pump is nice if you hate having the top of the bottle caked with gooey soap but i think ill go back to the old way,-,poor,-,poor,poor
i love the natural ingredients it cuts greasy like no other oh it lasts because it only takes a little,-,very good,-,-,very good
love this product it is very economical as well,very good,very good,-,-,very good
excellent plant based dish soap that smells great im satisfied slightly smiling faceok hand,-,very good,-,-,very good
"i already liked the method foaming hand soaps but i was a long time dawn detergent user  well this method gel dish pump cleans as good as dawn smells wonderful and is better for the ecosystem  i will gladly use method for all my dish washing
update i still love the product but i am not crazy about the pump i wish it was just a squeeze bottle  i cant always get the soap where i need it sometimes it runs down the side of the bottle  i know that it depends on how hard i push on the plunger but that may be too tricky for this old lady  i will continue to buy this but i may transfer the soap to another dispenser",-,very good,very good,very good,very good
i absolutely love these gloves striking colors and are durable i am constantly cleaning my kitchen and bathroom and i havent had any problems thus far,-,very good,-,-,very good
they are nice colors and fit as expected they are thinner than all other brands i used but they works as i need,-,good,-,-,good
"these dishwashing gloves feel a little thinner than the ones i previously had however thats not a problem because these gloves are durable and because they are a little thinner i can feel my dishes through them and grip things better so i actually prefer them over the other ones i used to use

you get three pair in a pack so they are affordbalem and the colors are bright and cheerful i keep one pair in my kitchen one in my bathroom and the third pair as a spare",-,very good,-,-,very good
these gloves are pretty long they cover the expanse of your arm i also have some questions about the durability of them as they seem pretty thin in material so much so that you can feel the heat from hot water pretty clearly  as if there is no protection at all on your hands i use these for washing dishes to get my hands not from pruning up and it suffices in that regard but i am not super pleased with them,-,poor,-,poor,poor
these gloves fit well on smaller hands the rubber is thinner than i am used to so i still feel the heat from super hot water but so far the gloves have been durable and work just as well while providing good grip or feel for what i am washing,-,very good,-,-,very good
it fits me good but it is thin i am not sure not how long it can last,-,neutral,-,-,neutral
these are very nice rubber gloves i like that i could pick different sizes and i picked a medium they fit me well and arent too big on me most gloves run quite large but these are nice as they are my size no type of lining inside but they do not leak or seep in liquid as youre cleaning or washing dishes some gloves really dry out my hands even though im not touching any product these did not and did a good job,-,very good,-,-,very good
these gloves feel a bit on the thinner size but they fit nicely and work for washing dishes,-,very good,-,-,very good
i can use the dust pan as i sweep or i can sweep dirt into a pile and then sweep into the dust pan  so many choices  older folks might know what i mean or i can just say itno more aching backs,-,bad,-,-,bad
i bought this broom and dust pan combo to keep in my classroom for quick and easy mess pick ups my custodian works so hard that anything my students can do to lessen her load is perfect the turquoise color fits my classroom theme and the students love to fight over whos going to get to sweep the floor the dust pan does lock into a position where it stands on its own whereas other things like this that i have owned wouldnt go into that lock position and were more cumbersome to use this only took me a matter of minutes to assemble as well the pictures and instructions are clear,-,very good,-,-,very good
great broom its a game changer when sweeping up hair after a cut no more hair being trapped in the broom bristles easy to dumb the container after its full,-,-,-,poor,poor
i like that it clips together and stands up on its own  and of course the part that cleans off the broom  love that feature,-,very good,-,-,very good
i love the dust pan it lays flat on the ground and cleans the broom which is essentially for a heavy shredder like my dog the broom bristles are flimsy the handle is a nice length,-,very good,-,-,very good
i bought this broom after seeing it on tiktok and was excited because i get a little grossed out by having to pick dust and hair out of my broom bristles its a good broom and picks up so much my only complaint is that clicking the dustpan back is a little hard,-,good,-,-,good
"i love that this one had metal poles to hold verses plastic like before it makes it more sturdy to hold however  that makes the top a little heavier the only con i have this time is you have to stand it just right to stay standing on a variety of surfaces ie carpet

overall i plan to buy again when i wear this one out i am 511 and husband is 645 and we are both comfortable using the broom and dustpan i am very satisfied and the price is reasonable",very good,very good,very good,-,very good
i needed to replace my old straw broom and handheld dustpan and this broom combo was priced right turned out to be the best broom and dustpan ive ever used it gets pet fur really well and the comb on the dustpan is fantastic at getting the fur off and where it belongs also the silicone edge doesnt let a single speck of dust go under the pan 5 stars easily,very good,very good,-,-,very good
this brand is hard to find locally and i do like them enough to order them scotties is a quality brand and the price here on amazon is fair i like the box colors and designs too a big thumbs up,very good,very good,-,very good,very good
like the tissue dont like the price,very good,-,-,-,very good
"ever try using tissue in your car?
i had originally liked scottys because they had a cute box but i discovered very early on when i blow my nose is not a cloud of lintey dusty fibers to then land everywhere  there are plenty soft they dont feel as soft on your fingers as the k name but i also had the problem of that softness that becomes a cloud landing in my dry eyes causing more irritation

you cant pick your boxes but i dont know that they have these at any of my local stores since i moved and was happy to get my fav back

this version is the one that pops them one at a time out of the top for easy grabbing without touching the others",-,-,very good,very good,very good
i love these tissues excellent value for the money easy on the nose and wallet,very good,very good,-,-,very good
3 out of 6 boxes damaged opened at one end,-,-,-,poor,poor
soft but strong and no lint so excellent for asthma,-,very good,-,-,very good
my own fault for not checking prices locally  paid way too much for the convenience of having it delivered,poor,-,-,-,poor
need quite frequently especially during cold and flu season,-,-,-,-,-
love this product,-,very good,-,-,very good
i have been using these for several years and they really cut down on the amount of cleaning that you have to do,-,-,-,-,-
sometimes its not easy to open pkg holding the tablets,-,-,poor,-,poor
no one likes cleaning toilets and we have 5 of them in our house  i figured id try this out on the two upstairs that get used the most  they definitely work and our toilets always smell fresh and look clean  the only issue is that the tube runs horizontal along the tank of the toilet  this has a tendency to choke the valve which decreases the amount of water that enters your bowl  after a flush you sometimes have to hold the handle down to let more water into the bowl  thats my only gripe it might not have that same effect on someone elses toilets as it did mine  overall im happy with it and havent had to add any tablets since i installed them now on both upstairs toilets,-,very good,very good,-,very good
great product keeps your toilet clean,-,-,-,-,-
we travel often and would find mold in toilet bowl after a week of being gone had started using bleach tablets but was informed by a plumber that they damage the internal parts of the tank kaboom uses the overflow tube to add bleach to the toilet bowl and doesnt affect tank parts works great at keeping bowl clean between regular cleanings and after extended absences,-,very good,-,-,very good
i wish dwight and church would make a refill box to save money per unit buying in small amounts has low value,very good,-,-,very good,very good
"were in new york so theres not as much hard water in our area the system was easy for me to install and the kaboom system legitimately kept our toilet bowl clean for a few months the only thing it could not defeat was our sons poop stain on the bowl dont know why lol everything else the bowl was kept clean when it was time to change the tablets wed notice the bowl starting to get a bit dirty

overall this was awesome we had to stop using it because our building changed the toilets and the system doesnt work with our style of toilet so unfortunate",-,good,good,-,good
they are easy other putting your hands in dirty water ughhh,-,-,-,-,-
super happy with the price and product the only thing i wish was a bit better was the mop head not falling off when taking it out of the water the weight of the water would sometimes have it pop off but would stay on fine once you spinned some of the water out,very good,very good,very good,-,very good
i love my mop this will be great for a long time can do many things with these mop,-,very good,very good,-,very good
me gusto mucho fácil de instalar limpian bien,-,-,-,-,-
easy to install,-,-,-,-,-
i got tired of looking for replacements in walmarts that were empty,-,-,-,-,-
super soft but cant get debris out of mop,-,good,-,-,good
these are great and a great value  they are close to the name brand ones but you have to make sure you spin them a little extra so that the water spins out  i will be ordering more soon ,very good,-,-,-,very good
always love getting new microfiber towels because their absorabance makes work effortless first time purchasing this brand i like the size of these not to big and not too small i also like how thin they are because it is so easy to wring out the water and clean i use one of the colors specifically for dusting you use it dry and it really traps the dust well like the colors so i can specific use a different color in kitchen and bath they seem to be holding up to washes and use so far please wash them properly without fragrance softener and separate from everything so far as good i would recommend them,-,very good,very good,-,very good
overall they work great they absorb well and do not leave spots however they are very thin and im not sure how long they will last after i start washing them often the package comes with a lot of them so if they do not last maybe this is no big deal again it is a good product and i would have given them a 5star if they were a little thicker other than this they are worth buying,-,very good,-,very good,very good
i ordered these aidea microfiber cleaning cloths because it is time for some spring cleaning and they do not disappoint good value,poor,poor,poor,-,poor
i needed a decent set of “ thin throwaway towels” in multiple colors and these are great  dont buy if you need thick longlasting towels great for small jobs that dont require a sturdy towel id repurchase for the type of towel and price paid at order time,very good,very good,very good,-,very good
when these arrived i was skeptical because they were vacuumpackaged and seemed super thin upon washing they fluffed up nicely we use these for everything basically to cut down our use of paper towels they work great and are holding up so far,-,very good,-,very good,very good
not super absorbent like a detailing cloth but they get the job done and you get a lot of them,-,poor,-,-,poor
good value strong towels,very good,very good,-,-,very good
they are inexpensive i used them to clean my truck,good,good,-,-,good
i liked everything about these cups whats not to like? i used them as fruit cups for my parents 65th wedding anniversary and guests were taking 2 and 3 cups home with them theses cups were a perfect size 55 oz and held just the right amount of food they were durable and the tops were very secure i think the price was very good for the amount of cups i have a few left over and will be using them as fruit cups for mothers day treats i really really love these cups you can use them for anything i also loved decorating them,very good,very good,-,very good,very good
i am a condiments type of gal these little cups get all my condiments attention for travel days and work nights i have not had any leak yet which is a major plus,-,good,-,-,good
good quality,-,good,-,-,good
i purchase these for office snack to fill  i am very pleased,-,-,-,-,-
made mini cheese cake for a family party every loved them,-,very good,-,-,very good
muy buenos perfecto para todo tipo de salsas y muy buen material ok hand,-,-,-,-,-
the quality was great lids fit very well and strong enough to keep the food safe or leakage,-,very good,-,-,very good
i really like the size of these cups along with the lids  i make pudding cups for my kids and grandkids  the lids prevent the pudding from getting a film on top  snacks are easily divided rather than reaching in the bag while traveling or at home  reduces the crumbs on the floor and carpet  there are so many uses for these cups  you cant put everything in plastic bags  because i am single i use these to portion out larger bottles and cans of food stuffs once they are opened  i also use them to store canned dog food because my doggies dont eat a whole can between them and dry dog food portioned out if i have to leave them with an animal care giver,-,very good,-,very good,very good
does the job cleans your butt after using toilet paper i dont give them five stars because you have to waste a bunch trying to get the first one and the ones near end out very frustrating i did an experiment they do dissolve in water after a shake simulating being flushed,-,-,-,-,-
a must have for the bathroom and it comes with a free microfiber cloth,-,-,-,-,-
one of the better wipes i have tried these wipes dont rip every time you pull them out like the rest of them do,-,-,very good,-,very good
the wipes make you feel really clean they just arent very big,-,-,-,-,-
all jokes aside i stand behind these wipes 100 youre fanny will never be the same youll kick toilet paper to the rear and grab these wipes instead they are soft and gentle on sensitive skin and they dont have much of a scentif any at all you can put them right in the toilet without clogging itthats worth it right there the next time you need something to refresh your backside after a visit to the throne i would recommend these for sure,-,-,very good,-,very good
i had a rash an had to change all my lotions this doesnt make me break out at all,-,-,-,-,-
soft and clean well  easy to carry,-,-,-,-,-
like these wipes but sometimes cost more than competitor,neutral,-,neutral,-,neutral
"these are my new favorite black nitrile gloves nitrile glove prices and availability went bonkers during covid  were now 23 years down the line and thanks to inflation things arent much better fortunately i found these gloves which are a great price and very good quality these have become my new favorite i dont even bother looking locally anymore i cant find a better glove at a similar or cheaper price any where in town i just order these and let our friendly amazon driver drop them off at our doorstep

these are very durable for the money i was so tired of the horrible quality gloves that rip when you try to put them on i was also tired of gloves advertised as black gloves that were gray or so thin they were translucent when they arrived these are very strong and theyre a true black which i really like

i use these mainly for workshop and automotive work theyve performed well for painting auto repair cleaning and more very rarely ill have a issue with one out of the box   sometimes ill get a rip when putting them on etc its 12 gloves out of a  box of100 if i have any issues at all i like these enough that i order multiple boxes at a time i wish they had a bulk buying discount they also work great for household cooking and cleaning

these are single use disposable gloves but theyre strong enough to withstand multiple uses if youre careful if im feeling very frugal i can carefully pull them off and reuse them for a second time  you cant do that with many of the cheap gloves on here

im a guy with large hands they measure about 425 wide at the palm and around 75 long from base of palm to tip of my middle finger i typically buy the xl and they fit me great ive also bought and used the l which are fine for my hands as well they just fit a little more snugly",very good,very good,very good,very good,very good
most nitrile gloves are too thin and tear when you use them for anything except the lightest work  these do not and they fit well  i have big hands and ordered the xls and they work beautifully,-,good,-,-,good
"i have purchased these gloves several times and they are absolutely amazing
they dont rip as easy as the other gloves you buy at the store
they hold up all day during work and the amount you get is a good buy
i highly recommend these gloves if you need to keep dirt and whatever off your hands all day",-,very good,very good,-,very good
my husband uses these gloves over his heavyduty highheat gloves when he is pulling pork or other meats off the smoker they are very durable and good quality,-,good,-,-,good
i worked at a place where i had to do a lot of cleaning and i had to get xl gloves to fit my hands these worked amazing and ive used them without issue for a while would definitely recommend them,-,very good,-,-,very good
los uso para trabajar con resina y fibra de vidrio son buenos,-,-,-,-,-
still a bit big,-,-,-,-,-
super product for the gloves,-,good,-,-,good
perfect size,-,-,-,-,-
my fav cones sleek design great burn,-,-,-,very good,very good
its sturdy i love it,-,very good,-,-,very good
"thank you for the new eco friendly packaging fifty years smoking weed
they are the best",-,-,-,very good,very good
just buy them lean size is the absolute perfect size for any person the crutch it longer and they cone is skinnier and longer i dont like using any other type also buying this package you get the good wooden packers not the cardboard tubes chefs kiss,-,very good,-,very good,very good
cones work as they should only downside is once youve gone past half waypoint on your joint the cone starts shrinking up and you can get a full hit,-,poor,-,-,poor
got these because was to lazy to roll up papers these product are fast and easy to use 10/10 would recommend,-,good,-,-,good
really good joints would buy again,-,good,-,-,good
i got these for work and they are great  they are very sturdy i would say they are better than the normal ones you would get included with whatever delivery meal you might have,-,very good,very good,-,very good
these have one job to be a spoon they do that i can eat yogurt in peace without the judgemental glares ive received in the recent past when using a plastic spoon but what about the chobani container its plastic cant win them all i just want the yogurt and cant really choose a compostable yogurt container i mean maybe i could but im not ready for that just yet so for now lets just declare a victory for the spoon,-,-,-,bad,bad
i bought these utensils because i was sick of feeling guilty when i discarded plastic spoons i expected compostable flatware to be flimsy and fragile but ive been very pleasantly surprised the utensils are both more substantial and more durable than the cheap plastic ones i bought before i dont stir boiling soup with them but i wouldnt do that with plastic either i can wash and reuse these when ive got the bandwidth and toss them when im in a hurry theyre an excellent product and a good deal,very good,very good,-,-,very good
great quality  remind folks they are compostable because they feel like plastic,-,very good,-,-,very good
i like these they are my go to disposable items,-,-,-,-,-
ive ordered these before both knives spoons and forks several times and never had a problem with the delivery theyre okay knives and its great that theyre compostable and disposable i dont know what went wrong this time but the box was completely mashed and destroyed the box was completely unusable luckily none of the knives were broken but i had to find another container for them disappointing poor packaging for shipping the product im writing this here because i couldnt give feedback any other way,-,bad,bad,bad,bad
will be ordering more,-,-,-,-,-
awesome that they break down for the environment but slight pressure will snap them easily,-,-,-,-,-
i used these forks along with the knives for my parents 65th wedding anniversary and they did not disappoint they were shiny classy and sturdy they looked like real fine silverware they gave the table a nice glisten and just the right amount of pop i will purchase again,-,very good,-,-,very good
looks like a quality product,-,good,-,-,good
i have bought these products a few times and have been very happy with it but these time i ordered for a baby shower as am wrapping them up for my event i fine quit a few forks broke these has never happened thank you,-,-,poor,-,poor
these are nice and fancy fr plastic wear you wont be disappointed,-,-,-,-,-
look very nice for disposable silverware going to be using these for my upcoming wedding,-,-,-,-,-
they are nice and shiny and wont  competly fool you for real silverware but they seem to be sturdy and i think theyll hold up to 1 meal will update after 9/17/22 event  they have a few defects on the ends/tops of the forks where the plastic or forks were seprated?? little nick and can see the black plastic on most not a deal breaker since theyre for 1 event and diposable but if you want something more consistent in quality and more formal these are not your utensils overall for the price they will serve their purpose,poor,poor,-,-,poor
served these for cake at a wedding and they worked well they look fairly realistic and were a great backup option in case we needed more silverware highly recommend having some on hand as a nice backup,-,very good,-,-,very good
i use them for when i need to work at the office sturdy and great quality no complaints here,-,neutral,-,-,neutral
very durable product,-,-,-,-,-
they are very durable and long lasting,-,neutral,-,-,neutral
i bought for my 24 year old granddaughter so she can clearly see the frink in the cup so she can learn to drink out of a cup with out spilling on herself and bamn job done also works for dumb adults mission accomplished,-,good,-,-,good
used for church event was good value,very good,very good,-,-,very good
these cups are sturdy  they are reuseable  most importantly they are truly 16 ounces  if your going to pour 12 ounce cans you need a 16 ounce cup  othewise when you lift or carry the cup when its full the contents will spill over the sizes and onto the counter or floor  also if you want to put ice or anything else in after you pour in the contents of the 12 ounce can you will need the extra 4 ounces of space that this cup provides,-,very good,-,-,very good
16 oz is large larger than you may need,-,-,-,-,-
good cups great shipping,-,very good,very good,-,very good
im sick of the red solo cups  when i have people over it looks like  a college dorm party  now with the clear cups at a good price  its far nicer  never again will i buy colored solo style cups,very good,very good,-,-,very good
i absolutely love these gloves striking colors and are durable i am constantly cleaning my kitchen and bathroom and i havent had any problems thus far,-,very good,-,-,very good
they are nice colors and fit as expected they are thinner than all other brands i used but they works as i need,-,good,-,-,good
"these dishwashing gloves feel a little thinner than the ones i previously had however thats not a problem because these gloves are durable and because they are a little thinner i can feel my dishes through them and grip things better so i actually prefer them over the other ones i used to use

you get three pair in a pack so they are affordbalem and the colors are bright and cheerful i keep one pair in my kitchen one in my bathroom and the third pair as a spare",-,very good,-,-,very good
these gloves are pretty long they cover the expanse of your arm i also have some questions about the durability of them as they seem pretty thin in material so much so that you can feel the heat from hot water pretty clearly  as if there is no protection at all on your hands i use these for washing dishes to get my hands not from pruning up and it suffices in that regard but i am not super pleased with them,-,poor,-,poor,poor
these gloves fit well on smaller hands the rubber is thinner than i am used to so i still feel the heat from super hot water but so far the gloves have been durable and work just as well while providing good grip or feel for what i am washing,-,very good,-,-,very good
it fits me good but it is thin i am not sure not how long it can last,-,neutral,-,-,neutral
these are very nice rubber gloves i like that i could pick different sizes and i picked a medium they fit me well and arent too big on me most gloves run quite large but these are nice as they are my size no type of lining inside but they do not leak or seep in liquid as youre cleaning or washing dishes some gloves really dry out my hands even though im not touching any product these did not and did a good job,-,very good,-,-,very good
these gloves feel a bit on the thinner size but they fit nicely and work for washing dishes,-,very good,-,-,very good
worked well enough for my purposes but with the tongs specifically youve got to be careful or they will break in half before you even have a chance to get them dirty,-,neutral,-,-,neutral
these were easy to clean use and were very serviceable,-,very good,-,-,very good
my wife and i renewed our vows and these we perfect for serving all of our food washing after was easy and they held up for multiple uses,-,very good,-,-,very good
plastic disposable serving spoons overpriced but easy to order and get shipped,good,-,-,-,good
this product is perfect for taking to potlucks  its easy to transport and durable,-,-,-,-,-
all the tongs broke with the first or second use the spoons and sporks did the job with no issues good set overall,-,poor,-,-,poor
really sturdy and practical for parties,-,-,-,-,-
they worked for an event but the tongs arent clear plastic like in the pictures theyre opaque and feel cheaply made but the spoons are great,good,good,-,-,good
clean no mess,-,-,-,-,-
originally bought these for traveling needed to have some detergent on hand for soccer uniforms in the hotel during our travel tournament and ending up loving them so much we bought more for home super convenient and smells great,-,very good,-,-,very good
super affordable price just as described so much easier than detergent,very good,very good,-,-,very good
bought these because i travel a lot and like to do my own laundry thought these would be a good idea theyre not  the packaging is too flimsy thats my bad but they clean clothes well from the house,-,very good,-,very good,very good
these are absolutely amazing,-,-,-,-,-
this was the first time i ever tried pods once you determine how many to use for your load sizes they are easy to use i like the reduced packaging,-,very good,very good,very good,very good
i love the tide pods there economical and easy to use  smells good and keeps clothes looking like new no fading would highly recommend this product,very good,very good,-,-,very good
laundry,-,-,-,-,-
"i have been using these religiously for 3 years to bag dirty diapers and they are amazing
we bag soiled nappies and throw them in a kitchen size lidded garbage can outside of our backdoor this has worked so much better than using the diaper disposal systems and truly keeps the stink out of our house who wants to keep a poopy diaper inside until the can is full or waste a ton of expensive bags by bringing them out half empty?
baby specific bags cost 2x the  these bags are remarkable at masking the yucky odors and the corresponding dispensers hang perfectly from a diaper bag or stroller
we also use them for dog waste which is how i discovered their usefulness with our 2legged children

ive been purchasing these through the subscribe and save program since 2020 since then we recently recieved one delivery which lacked the normal quality the bags felt different than normal and seemed a bit thinner we used them and seemed to do the job but after using these bags 10x a day for years the change whatever that consisted of was absolutely noticeable",very good,very good,very good,very good,very good
easy to use and durable,-,good,-,-,good
good product and good value,very good,very good,-,-,very good
i love how they hold in the smell so great no tears in any of them,-,very good,-,-,very good
"i use these differently to most purchasers a cat litter bags and to dispose of litter theyve proven to hold a lot of weighty cat litter and the smell is nice and subtle

theyre a great value for your dollar

i think in the years that i have purchased these ive had a total of 3 tear out of the package none during use

as a cat owner these work well for the purpose that i need them for",very good,very good,-,very good,very good
havent had any issues with these bag so that means i havent got poop on my hands beaming face with smiling eyes great bags for a great price,very good,-,-,-,very good
the bags smell good but they tear easy i love the scent it eliminates odors after your dog eliminates its a nice fragrance,-,very good,-,-,very good
rating a product that does it job,-,-,-,-,-
always consistently good,-,good,-,-,good
expiration dates are well off and the product was well packaged,-,-,-,good,good
"they pricing is great
my dislike is that batteries have expiration date on em these do not",-,-,-,-,-
took longer than stated to arrive but came in good condition,-,good,-,-,good
great for smoke alarms,-,-,-,-,-
nothing special,-,-,-,-,-
i dont hardly use 9 volt batteries and yet they are so expensive it was stated during purchase that the shelf life of these energizer 9 volt batteries was 5 years but upon arrival it was dated with exactly 4 years and even if they were sitting on the shelf if used after their expectant life date they would not charge our window alarms and toys as theyd be mostly dead how do i know? i know because i had some outdated 9 volt batteries of the same brand still packaged and they would not work even though they still showed a little life left when tested with a battery tester they did not arrive in a single package of 8 as listed but in 4 separate 2 packs all dated the same with only 4 years of life expectancy left,bad,bad,-,bad,bad
batteries sat in distributer or mfg company for one year only now giving 4 year shelf life dont matter to me as they will be installed in smoke detectors come jan 2023,-,-,-,-,-
very absorbent and select a size makes it super convenient,-,good,-,-,good
bounty paper towels are very strong i use them to clean sinks mirrors counter tops walls great for just about everything,-,very good,-,-,very good
bounty is the best paper towel for absorbency and strength that doesnt fall apart with use,-,very good,-,-,very good
love my bounty,-,very good,-,-,very good
i expected them to be extra large triple rolls but nope just regular sized shame on this vendor for price gauging,bad,-,-,-,bad
it shipped as two single rolls the image makes it look like it is 2 multi packs but it isnt,-,-,-,-,-
durable for price,neutral,-,-,-,neutral
delivered on time  works as expected,-,neutral,neutral,-,neutral
i was skeptical at first even though it said 240 sets i didnt think it would actually be 240 lids and 240 cups it is a great value the only problem was that a lot of the lids were stuck inside each other to the point of almost not noticing we ended up with leftover cups because kids put the lids on and werent able to feel when 2 lids were stuck together,neutral,-,-,-,neutral
will order them again ive made a lot of jelly shots in my years this product was the best handled the hot liquid this was the easiest snap on lids ive ever used not one cup or lid went to waste stacked well nope of them came apart in travel or moving them around to find out favorite color/favors,-,very good,-,-,very good
"get smart one package came 117 another came 121 238
even the lids came the same as the packages in the pots
opened to check
i did not return it because i needed urgent for today",-,-,-,good,good
will continue to but very content with my purchase,-,-,-,-,-
perfect size secure never spill a little flimsy sometimes and i have to throw style away but for the price i cant complain too much will but again soon,very good,-,very good,very good,very good
i use it for salsas and it doesnt spill,-,neutral,-,-,neutral
liked the value of buying it on amazon  and in bulk  they were great for jello shots ,very good,-,-,-,very good
product did come in a damaged box but the product itself was ok the cups are good quality lids fit securely i used these to put shampoo and body wash in they would work well for condiments or jello shots will buy again,-,very good,-,very good,very good
good gag gift but very stiff dont use  for real use,-,good,-,-,good
hahaha she was laughing ,-,-,-,-,-
funny gift not comfy on the bum but funny,-,-,-,-,-
absolutely hilarious so worth it,-,-,-,-,-
the printing is perfect the gift box that it comes in is so cute and made the gift even better,-,-,-,very good,very good
my family thought this was hilarious for my dads birthday,-,-,-,-,-
not comfortable for use,-,poor,-,-,poor
fun gift for a surprise 50th,-,-,-,-,-
i bought an aeropress in 2017 after i discovered that locally roasted coffee is enjoyable and due to travel i would be able to take it with me this is the coffee system i still use today and i always choose the filters made by aeropress,-,good,-,good,good
i buy a new pack of these every year or so  but now i dont have to for 2 years at least ,-,-,-,-,-
great value rather use these than the  metal one i could use  helps make my wonderful coffee in the morning  so enjoy my aeropress,very good,very good,-,-,very good
"i was down to one filter and recycling to get my morning joe  bbb closing and  had no more filters

tapped into my amozen app and the next day i had my filters yay",-,-,-,-,-
makeeasy to clean,-,-,-,-,-
well priced good buy,very good,very good,-,-,very good
muy costosos para ser de un sólo uso pero pues se necesitan,neutral,-,neutral,-,neutral
this is a very good toy well seeing as its my first it makes sense its size is good for both use and hiding works well it came in an assuming box which is neat as for cleaning its extremely easy just go to the bathroom and run it with warm water and soap through the hole and since its a hole that comes out from both ends the drying process is faster,-,very good,-,very good,very good
"just got this and have not use it as i was busy working so today i was able to clean my hole house with one pad and is easy so easy plus the spray can spray large for a biger area you want to clean and even smaller for a small arean that is hard to reach
i love it my house floor smells like flowers bouquet and i still have the 2 extra  pads i had not use and for 20 25 buks this is a deal you canot find anywere around i am happy with the purchase i made as i was looking for so long to get something convenient for me
grate job to you the company that made this it is a grate product
i know there are other out there maybe useful for some of ya all but for me i can explain how content i am with my purchase",-,very good,-,-,very good
